ReadTime,Usage(kwh),Hourly Temperature
"24:00","13.589","67.0"
"23:00","3.054","67.0"
"22:00","4.076","70.0"
"21:00","3.514","72.0"
"20:00","2.765","71.0"
"19:00","4.364","76.0"
"18:00","3.124","79.0"
"17:00","4.264","81.0"
"16:00","0.904","82.0"
"15:00","2.215","82.0"
"14:00","2.502","81.0"
"13:00","2.387","81.0"
"12:00","6.071","78.0"
"11:00","3.383","74.0"
"10:00","3.125","73.0"
"09:00","2.707","69.0"
"08:00","1.728","67.0"
"07:00","3.502","62.0"
"06:00","0.970","65.0"
"05:00","0.978","68.0"
"04:00","2.017","66.0"
"03:00","0.978","66.0"
"02:00","8.456","68.0"
"01:00","16.822","71.0"
