ReadTime,Usage(kwh),Hourly Temperature
"24:00","11.101","69.0"
"23:00","9.277","69.0"
"22:00","6.055","72.0"
"21:00","6.778","76.0"
"20:00","5.295","76.0"
"19:00","4.785","80.0"
"18:00","4.759","85.0"
"17:00","6.742","87.0"
"16:00","4.140","87.0"
"15:00","3.316","87.0"
"14:00","3.495","85.0"
"13:00","0.846","85.0"
"12:00","0.377","82.0"
"11:00","1.837","80.0"
"10:00","0.866","77.0"
"09:00","0.902","73.0"
"08:00","1.474","70.0"
"07:00","1.334","66.0"
"06:00","0.992","62.0"
"05:00","1.002","61.0"
"04:00","1.005","64.0"
"03:00","1.018","63.0"
"02:00","1.045","64.0"
"01:00","8.225","60.0"
