ReadTime,Usage(kwh),Hourly Temperature
"24:00","16.403","74.0"
"23:00","4.653","74.0"
"22:00","3.991","75.0"
"21:00","4.564","78.0"
"20:00","6.898","81.0"
"19:00","6.548","82.0"
"18:00","6.732","91.0"
"17:00","7.862","94.0"
"16:00","0.444","95.0"
"15:00","4.314","96.0"
"14:00","0.288","93.0"
"13:00","1.717","92.0"
"12:00","2.372","88.0"
"11:00","0.780","85.0"
"10:00","0.726","83.0"
"09:00","1.689","79.0"
"08:00","0.872","73.0"
"07:00","0.962","67.0"
"06:00","1.637","65.0"
"05:00","1.136","65.0"
"04:00","0.887","65.0"
"03:00","3.617","66.0"
"02:00","2.972","68.0"
"01:00","1.745","69.0"
