ReadTime,Usage(kwh),Hourly Temperature
"24:00","12.499","77.0"
"23:00","4.644","77.0"
"22:00","6.652","79.0"
"21:00","3.409","80.0"
"20:00","3.159","83.0"
"19:00","4.214","84.0"
"18:00","4.471","87.0"
"17:00","7.638","89.0"
"16:00","5.445","89.0"
"15:00","6.358","86.0"
"14:00","3.326","89.0"
"13:00","3.004","93.0"
"12:00","3.070","91.0"
"11:00","4.424","89.0"
"10:00","2.367","86.0"
"09:00","1.884","82.0"
"08:00","4.606","77.0"
"07:00","1.163","73.0"
"06:00","1.329","73.0"
"05:00","0.887","73.0"
"04:00","1.520","76.0"
"03:00","2.458","76.0"
"02:00","1.247","78.0"
"01:00","2.209","77.0"
