ReadTime,Usage(kwh),Hourly Temperature
"24:00","10.380","80.0"
"23:00","3.386","80.0"
"22:00","3.790","83.0"
"21:00","3.238","81.0"
"20:00","2.816","83.0"
"19:00","2.642","84.0"
"18:00","4.771","89.0"
"17:00","4.424","91.0"
"16:00","2.171","94.0"
"15:00","3.785","95.0"
"14:00","2.788","94.0"
"13:00","2.874","93.0"
"12:00","2.920","87.0"
"11:00","0.513","83.0"
"10:00","2.055","80.0"
"09:00","2.144","76.0"
"08:00","0.858","72.0"
"07:00","0.924","69.0"
"06:00","1.555","67.0"
"05:00","1.954","67.0"
"04:00","0.879","68.0"
"03:00","2.908","70.0"
"02:00","1.163","72.0"
"01:00","4.128","73.0"
