ReadTime,Usage(kwh),Hourly Temperature
"24:00","6.831","73.0"
"23:00","15.037","73.0"
"22:00","13.044","74.0"
"21:00","5.083","76.0"
"20:00","4.849","79.0"
"19:00","4.402","82.0"
"18:00","6.407","89.0"
"17:00","5.554","91.0"
"16:00","5.206","92.0"
"15:00","5.829","92.0"
"14:00","3.313","90.0"
"13:00","1.234","89.0"
"12:00","1.016","86.0"
"11:00","0.401","84.0"
"10:00","1.019","82.0"
"09:00","0.765","78.0"
"08:00","1.488","73.0"
"07:00","1.030","67.0"
"06:00","0.799","62.0"
"05:00","1.443","64.0"
"04:00","0.796","65.0"
"03:00","0.795","65.0"
"02:00","5.073","65.0"
"01:00","13.368","68.0"
