ReadTime,Usage(kwh),Hourly Temperature
"24:00","14.706","73.0"
"23:00","5.576","73.0"
"22:00","6.014","74.0"
"21:00","4.688","77.0"
"20:00","4.377","83.0"
"19:00","5.230","86.0"
"18:00","5.061","93.0"
"17:00","5.502","94.0"
"16:00","3.395","95.0"
"15:00","2.498","96.0"
"14:00","0.787","93.0"
"13:00","0.943","92.0"
"12:00","0.803","89.0"
"11:00","1.305","85.0"
"10:00","0.363","81.0"
"09:00","1.204","76.0"
"08:00","0.613","70.0"
"07:00","0.850","64.0"
"06:00","0.901","61.0"
"05:00","0.868","61.0"
"04:00","1.321","61.0"
"03:00","0.985","64.0"
"02:00","1.421","65.0"
"01:00","1.440","66.0"
