ReadTime,Usage(kwh),Hourly Temperature
"24:00","2.489","80.0"
"23:00","5.980","80.0"
"22:00","8.345","80.0"
"21:00","4.965","81.0"
"20:00","5.693","82.0"
"19:00","6.348","85.0"
"18:00","9.087","89.0"
"17:00","6.637","92.0"
"16:00","3.477","90.0"
"15:00","1.152","90.0"
"14:00","0.987","90.0"
"13:00","0.848","91.0"
"12:00","0.835","93.0"
"11:00","0.696","91.0"
"10:00","1.093","86.0"
"09:00","0.413","81.0"
"08:00","1.403","76.0"
"07:00","0.977","76.0"
"06:00","1.942","73.0"
"05:00","0.934","72.0"
"04:00","6.660","70.0"
"03:00","14.275","74.0"
"02:00","13.316","73.0"
"01:00","13.974","72.0"
