ReadTime,Usage(kwh),Hourly Temperature
"24:00","12.829","69.0"
"23:00","14.199","69.0"
"22:00","5.819","80.0"
"21:00","3.220","82.0"
"20:00","3.103","84.0"
"19:00","3.741","86.0"
"18:00","3.878","87.0"
"17:00","3.357","88.0"
"16:00","2.955","89.0"
"15:00","3.158","89.0"
"14:00","2.442","88.0"
"13:00","1.833","88.0"
"12:00","2.266","88.0"
"11:00","5.438","87.0"
"10:00","1.382","83.0"
"09:00","1.403","81.0"
"08:00","3.482","78.0"
"07:00","1.161","75.0"
"06:00","0.816","75.0"
"05:00","2.061","76.0"
"04:00","0.856","78.0"
"03:00","2.128","75.0"
"02:00","12.671","76.0"
"01:00","12.812","77.0"
